OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Discount,Status,Notes
ORD-2025-0001,C004,01/01/2025 12:15:00,P008,5,£2.75,0%,Despatched,
ORD-2025-0002,C018,03/01/2025 17:27:00,P002,1,£2.50,0%,Delivered,
ORD-2025-0003,C020,01/01/2025 16:12:00,P023,18,£3.30,15%,Processing,
ORD-2025-0004,C009,26/01/2025 08:48:00,P026,6,£3.00,0%,DELIVERED,
ORD-2025-0005,C005,07/01/2025 13:06:00,P003,13,£2.60,0%,Despatched,
ORD-2025-0006,C020,09/01/2025 08:46:00,P015,18,£3.50,0%,Cancelled,
ORD-2025-0007,C003,18/01/2025 12:53:00,P021,20,£5.40,5%,delivered,
ORD-2025-0008,C007,23/01/2025 09:02:00,P022,8,£4.90,0%,Cancelled,
ORD-2025-0009,C008,28/01/2025 09:24:00,P009,15,£2.50,0%,delivered,
ORD-2025-0010,C012,12/01/2025 11:42:00,P009,3,£2.50,,Delivered,
ORD-2025-0011,C008,06/01/2025 15:24:00,P009,18,£2.50,5%,DELIVERED,
ORD-2025-0012,C002,08/01/2025 08:51:00,P011,13,£2.20,10%,Delivered,
ORD-2025-0013,C019,29/01/2025 13:13:00,P021,16,£5.40,15%,Cancelled,
ORD-2025-0014,C015,05/01/2025 12:08:00,P008,18,£2.75,,Despatched,
ORD-2025-0015,C014,29/01/2025 17:25:00,P012,8,£3.00,5%,Delivered,
ORD-2025-0016,C016,03/01/2025 08:55:00,P004,5,£2.40,0%,Despatched,
ORD-2025-0017,C014,20/01/2025 09:24:00,P013,20,£3.10,5%,Processing,
ORD-2025-0018,C018,28/01/2025 08:43:00,P024,4,£18.50,0%,Processing,
ORD-2025-0019,C009,25/01/2025 13:07:00,P010,14,£2.60,5%,Delivered,
ORD-2025-0020,C009,17/01/2025 10:32:00,P030,4,£3.40,0%,Delivered,
ORD-2025-0021,C017,20/01/2025 11:09:00,P012,6,£3.00,,Despatched,
ORD-2025-0022,C017,30/01/2025 08:38:00,P011,16,£2.20,0%,Cancelled,
ORD-2025-0023,C010,08/01/2025 08:15:00,P029,19,£2.90,5%,Delivered,
ORD-2025-0024,C016,27/01/2025 09:48:00,P018,5,£6.50,5%,Processing,
ORD-2025-0025,C018,06/01/2025 12:33:00,P028,20,£2.60,15%,Delivered,
ORD-2025-0026,C018,25/01/2025 11:45:00,P010,13,£2.60,5%,Despatched,
ORD-2025-0027,C015,29/01/2025 16:28:00,P004,8,£2.40,5%,DELIVERED,
ORD-2025-0028,C019,18/01/2025 11:37:00,P008,1,£2.75,0%,Despatched,
ORD-2025-0029,C008,03/01/2025 08:55:00,P011,3,£2.20,,Delivered,
ORD-2025-0030,C016,07/01/2025 16:08:00,P024,19,£18.50,,Delivered,
ORD-2025-0031,C016,26/01/2025 14:12:00,P004,4,£2.40,0%,delivered,
ORD-2025-0032,C014,15/01/2025 08:43:00,P021,4,£5.40,0%,Despatched,
ORD-2025-0033,C004,08/01/2025 11:12:00,P018,15,£6.50,5%,Delivered,
ORD-2025-0034,C015,08/01/2025 09:28:00,P026,18,£3.00,0%,Despatched,
ORD-2025-0035,C018,27/01/2025 08:05:00,P030,8,£3.40,5%,Processing,
ORD-2025-0036,C007,28/01/2025 14:57:00,P002,6,£2.50,15%,Cancelled,
ORD-2025-0037,C009,30/01/2025 15:18:00,P014,18,£3.40,0%,Processing,
ORD-2025-0038,C007,10/01/2025 11:03:00,P019,18,£3.20,0%,DELIVERED,
ORD-2025-0003,C020,01/01/2025 16:12:00,P023,18,£3.30,15%,Processing,
ORD-2025-0039,C002,15/01/2025 10:30:00,P019,3,£3.20,5%,Delivered,"Please deliver before noon, thank you"
